lsoa11cd,index_domain,measure,value
E01012590,"Education, Skills and Training Deprivation",Rank,7270
E01012591,"Education, Skills and Training Deprivation",Rank,9153
E01012648,"Education, Skills and Training Deprivation",Rank,6283
E01012652,"Education, Skills and Training Deprivation",Rank,27720
E01012617,"Education, Skills and Training Deprivation",Rank,8577
E01012646,"Education, Skills and Training Deprivation",Rank,3368
E01012647,"Education, Skills and Training Deprivation",Rank,3983
E01012650,"Education, Skills and Training Deprivation",Rank,1561
E01012649,"Education, Skills and Training Deprivation",Rank,5072
E01012651,"Education, Skills and Training Deprivation",Rank,16213
E01012653,"Education, Skills and Training Deprivation",Rank,13350
E01012654,"Education, Skills and Training Deprivation",Rank,9089
E01012614,"Education, Skills and Training Deprivation",Rank,17999
E01012615,"Education, Skills and Training Deprivation",Rank,11756
E01012616,"Education, Skills and Training Deprivation",Rank,14356
E01012659,"Education, Skills and Training Deprivation",Rank,24834
E01012660,"Education, Skills and Training Deprivation",Rank,26320
E01012661,"Education, Skills and Training Deprivation",Rank,12154
E01012592,"Education, Skills and Training Deprivation",Rank,26418
E01012628,"Education, Skills and Training Deprivation",Rank,25283
E01032485,"Education, Skills and Training Deprivation",Rank,31771
E01032486,"Education, Skills and Training Deprivation",Rank,31811
E01024859,"Education, Skills and Training Deprivation",Rank,19669
E01024861,"Education, Skills and Training Deprivation",Rank,20464
E01024862,"Education, Skills and Training Deprivation",Rank,19647
E01024891,"Education, Skills and Training Deprivation",Rank,11103
E01024892,"Education, Skills and Training Deprivation",Rank,8698
E01024894,"Education, Skills and Training Deprivation",Rank,7448
E01024893,"Education, Skills and Training Deprivation",Rank,4949
E01024896,"Education, Skills and Training Deprivation",Rank,11224
E01024897,"Education, Skills and Training Deprivation",Rank,13009
E01024898,"Education, Skills and Training Deprivation",Rank,2130
E01024856,"Education, Skills and Training Deprivation",Rank,2246
E01024875,"Education, Skills and Training Deprivation",Rank,2152
E01024876,"Education, Skills and Training Deprivation",Rank,2656
E01024877,"Education, Skills and Training Deprivation",Rank,1075
E01024878,"Education, Skills and Training Deprivation",Rank,1058
E01024895,"Education, Skills and Training Deprivation",Rank,3415
E01024883,"Education, Skills and Training Deprivation",Rank,7094
E01024884,"Education, Skills and Training Deprivation",Rank,8575
E01024885,"Education, Skills and Training Deprivation",Rank,5616
E01024886,"Education, Skills and Training Deprivation",Rank,3683
E01024889,"Education, Skills and Training Deprivation",Rank,18498
E01024890,"Education, Skills and Training Deprivation",Rank,4831
E01024879,"Education, Skills and Training Deprivation",Rank,9449
E01024880,"Education, Skills and Training Deprivation",Rank,11152
E01024912,"Education, Skills and Training Deprivation",Rank,29595
E01024913,"Education, Skills and Training Deprivation",Rank,23977
E01024914,"Education, Skills and Training Deprivation",Rank,26455
E01024881,"Education, Skills and Training Deprivation",Rank,7203
E01024882,"Education, Skills and Training Deprivation",Rank,5559
E01024902,"Education, Skills and Training Deprivation",Rank,6099
E01024911,"Education, Skills and Training Deprivation",Rank,8336
E01024855,"Education, Skills and Training Deprivation",Rank,3335
E01024857,"Education, Skills and Training Deprivation",Rank,8166
E01024858,"Education, Skills and Training Deprivation",Rank,1662
E01024864,"Education, Skills and Training Deprivation",Rank,5671
E01024863,"Education, Skills and Training Deprivation",Rank,5318
E01024865,"Education, Skills and Training Deprivation",Rank,4888
E01024866,"Education, Skills and Training Deprivation",Rank,12967
E01024867,"Education, Skills and Training Deprivation",Rank,27890
E01024860,"Education, Skills and Training Deprivation",Rank,22917
E01024868,"Education, Skills and Training Deprivation",Rank,24200
E01024869,"Education, Skills and Training Deprivation",Rank,28343
E01024870,"Education, Skills and Training Deprivation",Rank,26616
E01024872,"Education, Skills and Training Deprivation",Rank,554
E01024899,"Education, Skills and Training Deprivation",Rank,795
E01024900,"Education, Skills and Training Deprivation",Rank,324
E01024907,"Education, Skills and Training Deprivation",Rank,1568
E01024908,"Education, Skills and Training Deprivation",Rank,157
E01024909,"Education, Skills and Training Deprivation",Rank,4442
E01024874,"Education, Skills and Training Deprivation",Rank,18765
E01024887,"Education, Skills and Training Deprivation",Rank,5822
E01024888,"Education, Skills and Training Deprivation",Rank,15851
E01024901,"Education, Skills and Training Deprivation",Rank,20877
E01024904,"Education, Skills and Training Deprivation",Rank,13391
E01024906,"Education, Skills and Training Deprivation",Rank,839
E01024910,"Education, Skills and Training Deprivation",Rank,7672
E01024871,"Education, Skills and Training Deprivation",Rank,19322
E01024873,"Education, Skills and Training Deprivation",Rank,16065
E01024903,"Education, Skills and Training Deprivation",Rank,7122
E01024905,"Education, Skills and Training Deprivation",Rank,21892
E01025060,"Education, Skills and Training Deprivation",Rank,3996
E01025061,"Education, Skills and Training Deprivation",Rank,14007
E01025062,"Education, Skills and Training Deprivation",Rank,1588
E01025063,"Education, Skills and Training Deprivation",Rank,8302
E01025064,"Education, Skills and Training Deprivation",Rank,27492
E01025065,"Education, Skills and Training Deprivation",Rank,8512
E01025066,"Education, Skills and Training Deprivation",Rank,22408
E01025032,"Education, Skills and Training Deprivation",Rank,7178
E01025033,"Education, Skills and Training Deprivation",Rank,21900
E01025034,"Education, Skills and Training Deprivation",Rank,18002
E01025048,"Education, Skills and Training Deprivation",Rank,25826
E01025049,"Education, Skills and Training Deprivation",Rank,3608
E01025050,"Education, Skills and Training Deprivation",Rank,18603
E01025053,"Education, Skills and Training Deprivation",Rank,13227
E01025070,"Education, Skills and Training Deprivation",Rank,3675
E01025071,"Education, Skills and Training Deprivation",Rank,15492
E01025072,"Education, Skills and Training Deprivation",Rank,6098
E01025073,"Education, Skills and Training Deprivation",Rank,14701
E01025074,"Education, Skills and Training Deprivation",Rank,26727
E01025051,"Education, Skills and Training Deprivation",Rank,10637
E01025052,"Education, Skills and Training Deprivation",Rank,24477
E01025057,"Education, Skills and Training Deprivation",Rank,14348
E01025058,"Education, Skills and Training Deprivation",Rank,12993
E01025059,"Education, Skills and Training Deprivation",Rank,10130
E01025067,"Education, Skills and Training Deprivation",Rank,5994
E01025068,"Education, Skills and Training Deprivation",Rank,6100
E01025069,"Education, Skills and Training Deprivation",Rank,9811
E01025044,"Education, Skills and Training Deprivation",Rank,6282
E01025045,"Education, Skills and Training Deprivation",Rank,2017
E01025046,"Education, Skills and Training Deprivation",Rank,4994
E01025081,"Education, Skills and Training Deprivation",Rank,21500
E01025041,"Education, Skills and Training Deprivation",Rank,1659
E01025042,"Education, Skills and Training Deprivation",Rank,461
E01025082,"Education, Skills and Training Deprivation",Rank,857
E01025083,"Education, Skills and Training Deprivation",Rank,1289
E01025084,"Education, Skills and Training Deprivation",Rank,1051
E01033231,"Education, Skills and Training Deprivation",Rank,1336
E01025055,"Education, Skills and Training Deprivation",Rank,7738
E01025075,"Education, Skills and Training Deprivation",Rank,11647
E01025076,"Education, Skills and Training Deprivation",Rank,16091
E01025077,"Education, Skills and Training Deprivation",Rank,9052
E01025078,"Education, Skills and Training Deprivation",Rank,15372
E01025035,"Education, Skills and Training Deprivation",Rank,19401
E01025036,"Education, Skills and Training Deprivation",Rank,3178
E01025037,"Education, Skills and Training Deprivation",Rank,15716
E01025038,"Education, Skills and Training Deprivation",Rank,25405
E01025039,"Education, Skills and Training Deprivation",Rank,26215
E01025040,"Education, Skills and Training Deprivation",Rank,22520
E01025054,"Education, Skills and Training Deprivation",Rank,13409
E01025056,"Education, Skills and Training Deprivation",Rank,24976
E01025079,"Education, Skills and Training Deprivation",Rank,13623
E01025080,"Education, Skills and Training Deprivation",Rank,14191
E01025191,"Education, Skills and Training Deprivation",Rank,20467
E01025192,"Education, Skills and Training Deprivation",Rank,7776
E01025193,"Education, Skills and Training Deprivation",Rank,12674
E01025194,"Education, Skills and Training Deprivation",Rank,9545
E01025195,"Education, Skills and Training Deprivation",Rank,18205
E01025196,"Education, Skills and Training Deprivation",Rank,4184
E01025197,"Education, Skills and Training Deprivation",Rank,14369
E01025198,"Education, Skills and Training Deprivation",Rank,8806
E01025199,"Education, Skills and Training Deprivation",Rank,18057
E01025200,"Education, Skills and Training Deprivation",Rank,10236
E01025201,"Education, Skills and Training Deprivation",Rank,11396
E01025202,"Education, Skills and Training Deprivation",Rank,17521
E01025205,"Education, Skills and Training Deprivation",Rank,5455
E01025206,"Education, Skills and Training Deprivation",Rank,14176
E01025207,"Education, Skills and Training Deprivation",Rank,7869
E01025208,"Education, Skills and Training Deprivation",Rank,9881
E01025220,"Education, Skills and Training Deprivation",Rank,2659
E01025221,"Education, Skills and Training Deprivation",Rank,7462
E01025222,"Education, Skills and Training Deprivation",Rank,18597
E01025223,"Education, Skills and Training Deprivation",Rank,8595
E01025178,"Education, Skills and Training Deprivation",Rank,28541
E01025179,"Education, Skills and Training Deprivation",Rank,23943
E01025180,"Education, Skills and Training Deprivation",Rank,26763
E01025203,"Education, Skills and Training Deprivation",Rank,24645
E01025226,"Education, Skills and Training Deprivation",Rank,5586
E01025227,"Education, Skills and Training Deprivation",Rank,3956
E01025228,"Education, Skills and Training Deprivation",Rank,12692
E01025174,"Education, Skills and Training Deprivation",Rank,24446
E01025175,"Education, Skills and Training Deprivation",Rank,28505
E01025176,"Education, Skills and Training Deprivation",Rank,21287
E01025177,"Education, Skills and Training Deprivation",Rank,29676
E01025204,"Education, Skills and Training Deprivation",Rank,28058
E01025211,"Education, Skills and Training Deprivation",Rank,30430
E01025181,"Education, Skills and Training Deprivation",Rank,1180
E01025182,"Education, Skills and Training Deprivation",Rank,2129
E01025183,"Education, Skills and Training Deprivation",Rank,2128
E01025184,"Education, Skills and Training Deprivation",Rank,2349
E01025188,"Education, Skills and Training Deprivation",Rank,3565
E01025189,"Education, Skills and Training Deprivation",Rank,2035
E01025210,"Education, Skills and Training Deprivation",Rank,4201
E01025217,"Education, Skills and Training Deprivation",Rank,2356
E01025218,"Education, Skills and Training Deprivation",Rank,316
E01025219,"Education, Skills and Training Deprivation",Rank,656
E01025224,"Education, Skills and Training Deprivation",Rank,4280
E01025225,"Education, Skills and Training Deprivation",Rank,13996
E01025229,"Education, Skills and Training Deprivation",Rank,3349
E01025230,"Education, Skills and Training Deprivation",Rank,2588
E01025187,"Education, Skills and Training Deprivation",Rank,11014
E01025190,"Education, Skills and Training Deprivation",Rank,13204
E01025209,"Education, Skills and Training Deprivation",Rank,7944
E01025216,"Education, Skills and Training Deprivation",Rank,7940
E01025185,"Education, Skills and Training Deprivation",Rank,4736
E01025186,"Education, Skills and Training Deprivation",Rank,3710
E01025212,"Education, Skills and Training Deprivation",Rank,21097
E01025213,"Education, Skills and Training Deprivation",Rank,10399
E01025214,"Education, Skills and Training Deprivation",Rank,20624
E01025215,"Education, Skills and Training Deprivation",Rank,4799
E01025315,"Education, Skills and Training Deprivation",Rank,29632
E01025320,"Education, Skills and Training Deprivation",Rank,23417
E01025331,"Education, Skills and Training Deprivation",Rank,25178
E01025348,"Education, Skills and Training Deprivation",Rank,25172
E01025349,"Education, Skills and Training Deprivation",Rank,29977
E01025334,"Education, Skills and Training Deprivation",Rank,24837
E01025344,"Education, Skills and Training Deprivation",Rank,26354
E01025345,"Education, Skills and Training Deprivation",Rank,29203
E01025346,"Education, Skills and Training Deprivation",Rank,26849
E01025347,"Education, Skills and Training Deprivation",Rank,23037
E01025329,"Education, Skills and Training Deprivation",Rank,10901
E01025330,"Education, Skills and Training Deprivation",Rank,22038
E01025335,"Education, Skills and Training Deprivation",Rank,10386
E01025338,"Education, Skills and Training Deprivation",Rank,20851
E01025339,"Education, Skills and Training Deprivation",Rank,13390
E01025322,"Education, Skills and Training Deprivation",Rank,25737
E01025326,"Education, Skills and Training Deprivation",Rank,25477
E01025327,"Education, Skills and Training Deprivation",Rank,24523
E01025342,"Education, Skills and Training Deprivation",Rank,27029
E01025321,"Education, Skills and Training Deprivation",Rank,23913
E01025340,"Education, Skills and Training Deprivation",Rank,28446
E01025341,"Education, Skills and Training Deprivation",Rank,31246
E01025343,"Education, Skills and Training Deprivation",Rank,21729
E01025354,"Education, Skills and Training Deprivation",Rank,31487
E01025316,"Education, Skills and Training Deprivation",Rank,27286
E01025317,"Education, Skills and Training Deprivation",Rank,24116
E01025325,"Education, Skills and Training Deprivation",Rank,13828
E01025328,"Education, Skills and Training Deprivation",Rank,26592
E01025318,"Education, Skills and Training Deprivation",Rank,24729
E01025319,"Education, Skills and Training Deprivation",Rank,31109
E01025333,"Education, Skills and Training Deprivation",Rank,28033
E01025350,"Education, Skills and Training Deprivation",Rank,30796
E01025351,"Education, Skills and Training Deprivation",Rank,27282
E01025323,"Education, Skills and Training Deprivation",Rank,29321
E01025324,"Education, Skills and Training Deprivation",Rank,29075
E01025332,"Education, Skills and Training Deprivation",Rank,31172
E01025336,"Education, Skills and Training Deprivation",Rank,31442
E01025337,"Education, Skills and Training Deprivation",Rank,31245
E01025352,"Education, Skills and Training Deprivation",Rank,30994
E01025353,"Education, Skills and Training Deprivation",Rank,31251
E01025355,"Education, Skills and Training Deprivation",Rank,30721
E01025361,"Education, Skills and Training Deprivation",Rank,26896
E01025362,"Education, Skills and Training Deprivation",Rank,25201
E01025393,"Education, Skills and Training Deprivation",Rank,17844
E01025363,"Education, Skills and Training Deprivation",Rank,22941
E01025364,"Education, Skills and Training Deprivation",Rank,28910
E01025366,"Education, Skills and Training Deprivation",Rank,14279
E01025395,"Education, Skills and Training Deprivation",Rank,21002
E01025396,"Education, Skills and Training Deprivation",Rank,3775
E01025397,"Education, Skills and Training Deprivation",Rank,11022
E01025398,"Education, Skills and Training Deprivation",Rank,12515
E01025367,"Education, Skills and Training Deprivation",Rank,22026
E01025368,"Education, Skills and Training Deprivation",Rank,10752
E01025369,"Education, Skills and Training Deprivation",Rank,7807
E01025381,"Education, Skills and Training Deprivation",Rank,2180
E01025382,"Education, Skills and Training Deprivation",Rank,3991
E01025383,"Education, Skills and Training Deprivation",Rank,17211
E01025356,"Education, Skills and Training Deprivation",Rank,6601
E01025373,"Education, Skills and Training Deprivation",Rank,27868
E01025385,"Education, Skills and Training Deprivation",Rank,4225
E01025387,"Education, Skills and Training Deprivation",Rank,20998
E01033281,"Education, Skills and Training Deprivation",Rank,15590
E01025377,"Education, Skills and Training Deprivation",Rank,30282
E01025378,"Education, Skills and Training Deprivation",Rank,28916
E01025379,"Education, Skills and Training Deprivation",Rank,12874
E01025380,"Education, Skills and Training Deprivation",Rank,28779
E01025357,"Education, Skills and Training Deprivation",Rank,20837
E01025358,"Education, Skills and Training Deprivation",Rank,29935
E01025365,"Education, Skills and Training Deprivation",Rank,26630
E01025384,"Education, Skills and Training Deprivation",Rank,25044
E01025359,"Education, Skills and Training Deprivation",Rank,9488
E01025360,"Education, Skills and Training Deprivation",Rank,16950
E01025375,"Education, Skills and Training Deprivation",Rank,22988
E01025376,"Education, Skills and Training Deprivation",Rank,7610
E01025371,"Education, Skills and Training Deprivation",Rank,7103
E01025374,"Education, Skills and Training Deprivation",Rank,15192
E01025391,"Education, Skills and Training Deprivation",Rank,6116
E01025392,"Education, Skills and Training Deprivation",Rank,17412
E01025394,"Education, Skills and Training Deprivation",Rank,14281
E01025370,"Education, Skills and Training Deprivation",Rank,13805
E01025388,"Education, Skills and Training Deprivation",Rank,9887
E01025389,"Education, Skills and Training Deprivation",Rank,3979
E01025390,"Education, Skills and Training Deprivation",Rank,8881
E01012607,"Education, Skills and Training Deprivation",Decile,3
E01012608,"Education, Skills and Training Deprivation",Decile,2
E01012633,"Education, Skills and Training Deprivation",Decile,6
E01012634,"Education, Skills and Training Deprivation",Decile,7
E01012635,"Education, Skills and Training Deprivation",Decile,6
E01012636,"Education, Skills and Training Deprivation",Decile,8
E01012581,"Education, Skills and Training Deprivation",Decile,9
E01012582,"Education, Skills and Training Deprivation",Decile,8
E01012583,"Education, Skills and Training Deprivation",Decile,9
E01012587,"Education, Skills and Training Deprivation",Decile,4
E01012588,"Education, Skills and Training Deprivation",Decile,3
E01012574,"Education, Skills and Training Deprivation",Decile,1
E01012577,"Education, Skills and Training Deprivation",Decile,1
E01012578,"Education, Skills and Training Deprivation",Decile,1
E01012605,"Education, Skills and Training Deprivation",Decile,1
E01012606,"Education, Skills and Training Deprivation",Decile,2
E01012579,"Education, Skills and Training Deprivation",Decile,1
E01012580,"Education, Skills and Training Deprivation",Decile,1
E01012642,"Education, Skills and Training Deprivation",Decile,2
E01012645,"Education, Skills and Training Deprivation",Decile,4
E01012585,"Education, Skills and Training Deprivation",Decile,4
E01012586,"Education, Skills and Training Deprivation",Decile,2
E01012656,"Education, Skills and Training Deprivation",Decile,1
E01012657,"Education, Skills and Training Deprivation",Decile,1
E01012658,"Education, Skills and Training Deprivation",Decile,4
E01012629,"Education, Skills and Training Deprivation",Decile,3
E01012631,"Education, Skills and Training Deprivation",Decile,1
E01012643,"Education, Skills and Training Deprivation",Decile,1
E01012644,"Education, Skills and Training Deprivation",Decile,2
E01012655,"Education, Skills and Training Deprivation",Decile,1
E01012571,"Education, Skills and Training Deprivation",Decile,1
E01012572,"Education, Skills and Training Deprivation",Decile,1
E01012573,"Education, Skills and Training Deprivation",Decile,2
E01012575,"Education, Skills and Training Deprivation",Decile,1
E01012630,"Education, Skills and Training Deprivation",Decile,1
E01012576,"Education, Skills and Training Deprivation",Decile,1
E01012637,"Education, Skills and Training Deprivation",Decile,1
E01012638,"Education, Skills and Training Deprivation",Decile,1
E01012639,"Education, Skills and Training Deprivation",Decile,1
E01012640,"Education, Skills and Training Deprivation",Decile,2
E01012641,"Education, Skills and Training Deprivation",Decile,1
E01012595,"Education, Skills and Training Deprivation",Decile,2
E01012596,"Education, Skills and Training Deprivation",Decile,2
E01012622,"Education, Skills and Training Deprivation",Decile,1
E01012623,"Education, Skills and Training Deprivation",Decile,3
E01012624,"Education, Skills and Training Deprivation",Decile,2
E01012625,"Education, Skills and Training Deprivation",Decile,3
E01012584,"Education, Skills and Training Deprivation",Decile,9
E01012609,"Education, Skills and Training Deprivation",Decile,9
E01012610,"Education, Skills and Training Deprivation",Decile,7
E01012611,"Education, Skills and Training Deprivation",Decile,9
E01012612,"Education, Skills and Training Deprivation",Decile,8
E01012613,"Education, Skills and Training Deprivation",Decile,9
E01012600,"Education, Skills and Training Deprivation",Decile,1
E01012601,"Education, Skills and Training Deprivation",Decile,1
E01012602,"Education, Skills and Training Deprivation",Decile,6
E01012603,"Education, Skills and Training Deprivation",Decile,1
E01012604,"Education, Skills and Training Deprivation",Decile,4
E01012632,"Education, Skills and Training Deprivation",Decile,4
E01012594,"Education, Skills and Training Deprivation",Decile,1
E01012618,"Education, Skills and Training Deprivation",Decile,7
E01012619,"Education, Skills and Training Deprivation",Decile,1
E01012620,"Education, Skills and Training Deprivation",Decile,5
E01012621,"Education, Skills and Training Deprivation",Decile,3
E01012593,"Education, Skills and Training Deprivation",Decile,5
E01012597,"Education, Skills and Training Deprivation",Decile,7
E01012598,"Education, Skills and Training Deprivation",Decile,8
E01012599,"Education, Skills and Training Deprivation",Decile,5
E01012589,"Education, Skills and Training Deprivation",Decile,3
E01012590,"Education, Skills and Training Deprivation",Decile,3
E01012591,"Education, Skills and Training Deprivation",Decile,3
E01012648,"Education, Skills and Training Deprivation",Decile,2
E01012652,"Education, Skills and Training Deprivation",Decile,9
E01012617,"Education, Skills and Training Deprivation",Decile,3
E01012646,"Education, Skills and Training Deprivation",Decile,2
E01012647,"Education, Skills and Training Deprivation",Decile,2
E01012650,"Education, Skills and Training Deprivation",Decile,1
E01012649,"Education, Skills and Training Deprivation",Decile,2
E01012651,"Education, Skills and Training Deprivation",Decile,5
E01012653,"Education, Skills and Training Deprivation",Decile,5
E01012654,"Education, Skills and Training Deprivation",Decile,3
E01012614,"Education, Skills and Training Deprivation",Decile,6
E01012615,"Education, Skills and Training Deprivation",Decile,4
E01012616,"Education, Skills and Training Deprivation",Decile,5
E01012659,"Education, Skills and Training Deprivation",Decile,8
E01012660,"Education, Skills and Training Deprivation",Decile,9
E01012661,"Education, Skills and Training Deprivation",Decile,4
E01012592,"Education, Skills and Training Deprivation",Decile,9
E01012628,"Education, Skills and Training Deprivation",Decile,8
E01032485,"Education, Skills and Training Deprivation",Decile,10
E01032486,"Education, Skills and Training Deprivation",Decile,10
E01024859,"Education, Skills and Training Deprivation",Decile,6
E01024861,"Education, Skills and Training Deprivation",Decile,7
E01024862,"Education, Skills and Training Deprivation",Decile,6
E01024891,"Education, Skills and Training Deprivation",Decile,4
E01024892,"Education, Skills and Training Deprivation",Decile,3
E01024894,"Education, Skills and Training Deprivation",Decile,3
E01024893,"Education, Skills and Training Deprivation",Decile,2
E01024896,"Education, Skills and Training Deprivation",Decile,4
E01024897,"Education, Skills and Training Deprivation",Decile,4
E01024898,"Education, Skills and Training Deprivation",Decile,1
E01024856,"Education, Skills and Training Deprivation",Decile,1
E01024875,"Education, Skills and Training Deprivation",Decile,1
E01024876,"Education, Skills and Training Deprivation",Decile,1
E01024877,"Education, Skills and Training Deprivation",Decile,1
E01024878,"Education, Skills and Training Deprivation",Decile,1
E01024895,"Education, Skills and Training Deprivation",Decile,2
E01024883,"Education, Skills and Training Deprivation",Decile,3
E01024884,"Education, Skills and Training Deprivation",Decile,3
E01024885,"Education, Skills and Training Deprivation",Decile,2
E01024886,"Education, Skills and Training Deprivation",Decile,2
E01024889,"Education, Skills and Training Deprivation",Decile,6
E01024890,"Education, Skills and Training Deprivation",Decile,2
E01024879,"Education, Skills and Training Deprivation",Decile,3
E01024880,"Education, Skills and Training Deprivation",Decile,4
E01024912,"Education, Skills and Training Deprivation",Decile,10
E01024913,"Education, Skills and Training Deprivation",Decile,8
E01024914,"Education, Skills and Training Deprivation",Decile,9
E01024881,"Education, Skills and Training Deprivation",Decile,3
E01024882,"Education, Skills and Training Deprivation",Decile,2
E01024902,"Education, Skills and Training Deprivation",Decile,2
E01024911,"Education, Skills and Training Deprivation",Decile,3
E01024855,"Education, Skills and Training Deprivation",Decile,2
E01024857,"Education, Skills and Training Deprivation",Decile,3
E01024858,"Education, Skills and Training Deprivation",Decile,1
E01024864,"Education, Skills and Training Deprivation",Decile,2
E01024863,"Education, Skills and Training Deprivation",Decile,2
E01024865,"Education, Skills and Training Deprivation",Decile,2
E01024866,"Education, Skills and Training Deprivation",Decile,4
E01024867,"Education, Skills and Training Deprivation",Decile,9
E01024860,"Education, Skills and Training Deprivation",Decile,7
E01024868,"Education, Skills and Training Deprivation",Decile,8
E01024869,"Education, Skills and Training Deprivation",Decile,9
E01024870,"Education, Skills and Training Deprivation",Decile,9
E01024872,"Education, Skills and Training Deprivation",Decile,1
E01024899,"Education, Skills and Training Deprivation",Decile,1
E01024900,"Education, Skills and Training Deprivation",Decile,1
E01024907,"Education, Skills and Training Deprivation",Decile,1
E01024908,"Education, Skills and Training Deprivation",Decile,1
E01024909,"Education, Skills and Training Deprivation",Decile,2
E01024874,"Education, Skills and Training Deprivation",Decile,6
E01024887,"Education, Skills and Training Deprivation",Decile,2
E01024888,"Education, Skills and Training Deprivation",Decile,5
E01024901,"Education, Skills and Training Deprivation",Decile,7
E01024904,"Education, Skills and Training Deprivation",Decile,5
E01024906,"Education, Skills and Training Deprivation",Decile,1
E01024910,"Education, Skills and Training Deprivation",Decile,3
E01024871,"Education, Skills and Training Deprivation",Decile,6
E01024873,"Education, Skills and Training Deprivation",Decile,5
E01024903,"Education, Skills and Training Deprivation",Decile,3
E01024905,"Education, Skills and Training Deprivation",Decile,7
E01025060,"Education, Skills and Training Deprivation",Decile,2
E01025061,"Education, Skills and Training Deprivation",Decile,5
E01025062,"Education, Skills and Training Deprivation",Decile,1
E01025063,"Education, Skills and Training Deprivation",Decile,3
E01025064,"Education, Skills and Training Deprivation",Decile,9
E01025065,"Education, Skills and Training Deprivation",Decile,3
E01025066,"Education, Skills and Training Deprivation",Decile,7
E01025032,"Education, Skills and Training Deprivation",Decile,3
E01025033,"Education, Skills and Training Deprivation",Decile,7
E01025034,"Education, Skills and Training Deprivation",Decile,6
E01025048,"Education, Skills and Training Deprivation",Decile,8
E01025049,"Education, Skills and Training Deprivation",Decile,2
E01025050,"Education, Skills and Training Deprivation",Decile,6
E01025053,"Education, Skills and Training Deprivation",Decile,5
E01025070,"Education, Skills and Training Deprivation",Decile,2
E01025071,"Education, Skills and Training Deprivation",Decile,5
E01025072,"Education, Skills and Training Deprivation",Decile,2
E01025073,"Education, Skills and Training Deprivation",Decile,5
E01025074,"Education, Skills and Training Deprivation",Decile,9
E01025051,"Education, Skills and Training Deprivation",Decile,4
E01025052,"Education, Skills and Training Deprivation",Decile,8
E01025057,"Education, Skills and Training Deprivation",Decile,5
E01025058,"Education, Skills and Training Deprivation",Decile,4
E01025059,"Education, Skills and Training Deprivation",Decile,4
E01025067,"Education, Skills and Training Deprivation",Decile,2
E01025068,"Education, Skills and Training Deprivation",Decile,2
E01025069,"Education, Skills and Training Deprivation",Decile,3
E01025044,"Education, Skills and Training Deprivation",Decile,2
E01025045,"Education, Skills and Training Deprivation",Decile,1
E01025046,"Education, Skills and Training Deprivation",Decile,2
E01025081,"Education, Skills and Training Deprivation",Decile,7
E01025041,"Education, Skills and Training Deprivation",Decile,1
E01025042,"Education, Skills and Training Deprivation",Decile,1
E01025082,"Education, Skills and Training Deprivation",Decile,1
E01025083,"Education, Skills and Training Deprivation",Decile,1
E01025084,"Education, Skills and Training Deprivation",Decile,1
E01033231,"Education, Skills and Training Deprivation",Decile,1
E01025055,"Education, Skills and Training Deprivation",Decile,3
E01025075,"Education, Skills and Training Deprivation",Decile,4
E01025076,"Education, Skills and Training Deprivation",Decile,5
E01025077,"Education, Skills and Training Deprivation",Decile,3
E01025078,"Education, Skills and Training Deprivation",Decile,5
E01025035,"Education, Skills and Training Deprivation",Decile,6
E01025036,"Education, Skills and Training Deprivation",Decile,1
E01025037,"Education, Skills and Training Deprivation",Decile,5
E01025038,"Education, Skills and Training Deprivation",Decile,8
E01025039,"Education, Skills and Training Deprivation",Decile,8
E01025040,"Education, Skills and Training Deprivation",Decile,7
E01025054,"Education, Skills and Training Deprivation",Decile,5
E01025056,"Education, Skills and Training Deprivation",Decile,8
E01025079,"Education, Skills and Training Deprivation",Decile,5
E01025080,"Education, Skills and Training Deprivation",Decile,5
E01025191,"Education, Skills and Training Deprivation",Decile,7
E01025192,"Education, Skills and Training Deprivation",Decile,3
E01025193,"Education, Skills and Training Deprivation",Decile,4
E01025194,"Education, Skills and Training Deprivation",Decile,3
E01025195,"Education, Skills and Training Deprivation",Decile,6
E01025196,"Education, Skills and Training Deprivation",Decile,2
E01025197,"Education, Skills and Training Deprivation",Decile,5
E01025198,"Education, Skills and Training Deprivation",Decile,3
E01025199,"Education, Skills and Training Deprivation",Decile,6
E01025200,"Education, Skills and Training Deprivation",Decile,4
E01025201,"Education, Skills and Training Deprivation",Decile,4
E01025202,"Education, Skills and Training Deprivation",Decile,6
E01025205,"Education, Skills and Training Deprivation",Decile,2
E01025206,"Education, Skills and Training Deprivation",Decile,5
E01025207,"Education, Skills and Training Deprivation",Decile,3
E01025208,"Education, Skills and Training Deprivation",Decile,4
E01025220,"Education, Skills and Training Deprivation",Decile,1
E01025221,"Education, Skills and Training Deprivation",Decile,3
E01025222,"Education, Skills and Training Deprivation",Decile,6
E01025223,"Education, Skills and Training Deprivation",Decile,3
E01025178,"Education, Skills and Training Deprivation",Decile,9
E01025179,"Education, Skills and Training Deprivation",Decile,8
E01025180,"Education, Skills and Training Deprivation",Decile,9
E01025203,"Education, Skills and Training Deprivation",Decile,8
E01025226,"Education, Skills and Training Deprivation",Decile,2
E01025227,"Education, Skills and Training Deprivation",Decile,2
E01025228,"Education, Skills and Training Deprivation",Decile,4
E01025174,"Education, Skills and Training Deprivation",Decile,8
E01025175,"Education, Skills and Training Deprivation",Decile,9
E01025176,"Education, Skills and Training Deprivation",Decile,7
E01025177,"Education, Skills and Training Deprivation",Decile,10
